Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Power,Temp_diff,Tool_wear_bin,Torque_x_Wear,Power_x_Temp,Torque_Nm_outlier,Rotational_speed_rpm_outlier,Tool_wear_min_outlier,Power_outlier,RPM_per_Torque,Wear_rate,Multi_flag
0,301.6,311.2,1525,43.7,91,66642.5,9.599999999999966,0,3976.7,639767.9999999977,0,0,0,0,34.897024373065804,0.0596721311084117,0
2,296.8,308.0,1311,58.6,19,76824.6,11.199999999999989,0,1113.4,860435.5199999992,0,0,0,0,22.37201327010216,0.0144927536121336,0
0,300.5,311.4,1709,32.3,64,55200.7,10.899999999999975,0,2067.2,601687.6299999987,0,0,0,0,52.91021508017911,0.0374488004461973,0
1,298.1,307.7,1498,38.3,81,57373.4,9.599999999999966,0,3102.3,550784.639999998,0,0,0,0,39.11227051926187,0.0540720960920746,0
0,300.7,312.4,1590,37.9,98,60261.0,11.699999999999989,0,3714.2,705053.6999999994,0,0,0,0,41.95250548937981,0.0616352200870218,0
0,297.3,308.3,1309,61.5,56,80503.5,11.0,0,3444.0,885538.5,0,0,0,0,21.28455249943817,0.0427807486304195,0
1,298.6,309.9,1818,24.9,9,45268.2,11.299999999999956,0,224.1,511530.65999999794,0,0,0,0,73.01204526056043,0.0049504950467819,0
1,299.6,309.2,1393,47.7,28,66446.1,9.599999999999966,0,1335.6,637882.5599999978,0,0,0,0,29.203353685464283,0.0201005024981331,0
2,301.9,310.5,1472,39.7,187,58438.4,8.600000000000023,1,7423.900000000001,502570.2400000013,0,0,0,0,37.078084708360585,0.1270380433919578,0
0,298.3,308.9,1379,54.7,91,75431.3,10.599999999999966,0,4977.7,799571.7799999975,0,0,0,0,25.210237199081583,0.0659898476678826,0
1,304.0,313.0,1377,56.0,61,77112.0,9.0,0,3416.0,694008.0,0,0,0,0,24.589285275191337,0.0442992011297754,0
1,302.2,311.1,1728,34.0,179,58752.0,8.900000000000034,1,6086.0,522892.800000002,0,0,0,0,50.823527916955065,0.1035879629030162,0
0,298.2,309.4,1398,52.9,79,73954.2,11.199999999999989,0,4179.099999999999,828287.0399999991,0,0,0,0,26.4272206724533,0.0565092989581478,0
2,301.0,311.0,1640,37.6,118,61664.0,10.0,1,4436.8,616640.0,0,0,0,0,43.61702011656862,0.0719512194683224,0
0,299.7,310.2,1633,36.5,24,59604.5,10.5,0,876.0,625847.25,0,0,0,0,44.73972480165138,0.0146968769046559,0
1,299.8,309.1,1456,39.4,209,57366.4,9.300000000000011,2,8234.6,533507.5200000007,0,0,0,0,36.95431378288544,0.1435439559453681,0
0,298.4,308.3,1452,48.5,73,70422.0,9.900000000000034,0,3540.5,697177.8000000024,0,0,0,0,29.938143712615595,0.0502754820590389,0
0,300.6,311.0,1563,40.7,87,63614.100000000006,10.399999999999975,0,3540.9,661586.6399999986,0,0,0,0,38.40294745938704,0.0556621880641956,0
0,299.0,308.7,2250,16.6,208,37350.0,9.699999999999989,2,3452.8,362294.9999999996,0,1,0,0,135.5421605095084,0.092444444403358,1
