Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Power,Temp_diff,Tool_wear_bin,Torque_x_Wear,Power_x_Temp,Torque_Nm_outlier,Rotational_speed_rpm_outlier,Tool_wear_min_outlier,Power_outlier,RPM_per_Torque,Wear_rate,Multi_flag
1,298.1,308.6,1551,42.8,0,0,66382.79999999999,10.5,0,0.0,697019.3999999999,0,0,0,0,36.2383169103197,0.0,0
0,298.2,308.7,1408,46.3,3,0,65190.399999999994,10.5,0,138.89999999999998,684499.2,0,0,0,0,30.41036651381498,0.0021306818166685498,0
0,298.1,308.5,1498,49.4,5,0,74001.2,10.399999999999977,0,247.0,769612.4799999982,0,0,0,0,30.32388602583227,0.003337783709387327,0
0,298.2,308.6,1433,39.5,7,0,56603.5,10.400000000000034,0,276.5,588676.4000000019,0,0,0,0,36.278480094215695,0.004884856940066394,0
0,298.2,308.7,1408,40.0,9,0,56320.0,10.5,0,360.0,591360.0,0,0,0,0,35.19999912000002,0.006392045450005649,0
1,298.1,308.6,1425,41.9,11,0,59707.5,10.5,0,460.9,626928.75,0,0,0,0,34.00954572769581,0.007719298240196983,0
0,298.1,308.6,1558,42.4,14,0,66059.2,10.5,0,593.6,693621.6,0,0,0,0,36.74528215223391,0.008985879326709962,0
0,298.1,308.6,1527,40.2,16,0,61385.4,10.5,0,643.2,644546.7000000001,0,0,0,0,37.98507368196334,0.010478061551749795,0
1,298.3,308.7,1667,28.6,18,0,47676.200000000004,10.399999999999977,0,514.8000000000001,495832.47999999893,0,0,0,0,58.28671124871639,0.010797840425436208,0
1,298.5,309.0,1741,28.0,21,0,48748.0,10.5,0,588.0,511854.0,0,0,0,0,62.17856920790824,0.012062033307259027,0
2,298.4,308.9,1782,23.9,24,0,42589.799999999996,10.5,0,573.5999999999999,447192.89999999997,0,0,0,0,74.5606663363738,0.013468013460455659,0
2,298.6,309.1,1423,44.3,29,0,63038.899999999994,10.5,0,1284.6999999999998,661908.45,0,0,0,0,32.121895437429,0.02037947995756888,0
1,298.6,309.1,1339,51.1,34,0,68422.90000000001,10.5,0,1737.4,718440.4500000001,0,0,0,0,26.203521992103287,0.02539208362554736,0
1,298.6,309.2,1742,30.0,37,0,52260.0,10.599999999999966,0,1110.0,553955.9999999983,0,0,0,0,58.066664731111175,0.021239954063582114,0
0,298.6,309.2,2035,19.6,40,0,39886.0,10.599999999999966,0,784.0,422791.59999999864,0,1,0,0,103.82652531497318,0.019656019646360677,1
0,298.6,309.2,1542,48.4,42,0,74632.8,10.599999999999966,0,2032.8,791107.6799999975,0,0,0,0,31.859503473977203,0.027237354067939458,0
