Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,ambient_temp,load_density,humidity,shift_encoded,temp_load_stress,humidity_wear,night_load
1,298.1,308.6,1551,42.8,0,0,29.99,0.548,58.48,0,16.435,0.0,0
0,298.2,308.7,1408,46.3,3,0,27.45,0.604,57.83,1,16.58,173.49,0
0,298.1,308.5,1498,49.4,5,0,30.59,0.56,45.63,2,17.13,228.15,0
0,298.2,308.6,1433,39.5,7,0,34.09,0.667,60.8,0,22.738,425.6,0
0,298.2,308.7,1408,40.0,9,0,27.06,0.83,40.1,1,22.46,360.9,0
1,298.1,308.6,1425,41.9,11,0,27.06,0.534,48.46,2,14.45,533.06,0
0,298.1,308.6,1558,42.4,14,0,34.32,0.8,35.01,0,27.456,490.14,0
0,298.1,308.6,1527,40.2,16,0,31.07,0.533,70.59,1,16.56,1129.44,0
1,298.3,308.7,1667,28.6,18,0,26.12,0.523,52.68,2,13.661,948.24,0
1,298.5,309.0,1741,28.0,21,0,30.17,0.773,76.67,0,23.321,1610.07,0
2,298.4,308.9,1782,23.9,24,0,26.15,0.788,63.03,1,20.606,1512.72,0
2,298.6,309.1,1423,44.3,29,0,26.14,0.778,59.48,2,20.337,1724.92,1
1,298.6,309.1,1339,51.1,34,0,28.97,0.453,49.14,0,13.123,1670.76,0
1,298.6,309.2,1742,30.0,37,0,20.35,0.58,44.54,1,11.803,1647.98,0
0,298.6,309.2,2035,19.6,40,0,21.1,0.773,60.23,2,16.31,2409.2,1
0,298.6,309.2,1542,48.4,42,0,25.75,0.656,54.28,0,16.892,2279.76,0
1,298.6,309.2,1311,46.6,44,0,23.95,0.489,41.61,1,11.712,1830.84,0
1,298.7,309.2,1410,45.6,47,0,29.26,0.719,39.83,2,21.038,1872.01,1
2,298.8,309.2,1306,54.5,50,0,24.37,0.543,45.41,0,13.233,2270.5,0
1,298.9,309.3,1632,32.5,55,0,22.35,0.919,73.21,1,20.54,4026.55,0
2,298.9,309.3,1375,42.7,58,0,33.86,0.882,77.13,2,29.865,4473.54,1
0,298.8,309.3,1450,44.8,63,0,27.1,0.741,57.05,0,20.081,3594.15,0
1,298.9,309.3,1581,30.7,65,0,28.27,0.854,56.49,1,24.143,3671.85,0
0,299.0,309.4,1758,25.7,68,0,22.3,0.66,51.64,2,14.718,3511.52,0
1,299.0,309.4,1561,37.3,70,0,25.82,0.765,45.66,0,19.752,3196.2,0
0,299.0,309.5,1861,23.3,73,0,28.44,0.872,68.75,1,24.8,5018.75,0
0,299.1,309.5,1512,39.0,75,0,23.4,0.687,73.74,2,16.076,5530.5,0
2,299.1,309.4,1811,24.6,77,0,29.5,0.612,46.07,0,18.054,3547.39,0
0,299.1,309.4,1439,44.2,82,0,25.6,0.394,54.17,1,10.086,4441.94,0
0,299.0,309.4,1693,30.1,84,0,26.83,0.638,50.5,2,17.118,4242.0,0
1,299.1,309.5,1339,48.2,86,0,25.59,0.774,50.8,0,19.807,4368.8,0
0,299.0,309.4,1798,25.5,89,0,35.41,0.792,66.86,1,28.045,5950.54,0
0,299.0,309.4,1419,48.3,91,0,27.95,0.726,41.88,2,20.292,3811.08,1
0,298.9,309.3,1665,32.5,93,0,23.77,0.569,59.66,0,13.525,5548.38,0
1,298.8,309.1,1559,34.7,95,0,31.29,0.353,62.28,1,11.045,5916.6,0
1,298.8,309.2,1452,48.6,98,0,23.12,0.576,53.58,2,13.317,5250.84,0
1,298.9,309.2,1581,36.7,101,0,28.84,0.604,63.93,0,17.419,6456.93,0
0,298.8,309.1,1439,39.2,104,0,20.16,0.603,56.48,1,12.156,5873.92,0
2,298.9,309.2,1379,50.7,106,0,22.69,0.743,67.17,2,16.859,7120.02,1
0,298.8,309.1,1350,52.5,111,0,28.79,0.948,39.78,0,27.293,4415.58,0
0,298.8,309.1,1362,45.4,113,0,30.95,0.669,51.51,1,20.706,5820.63,0
0,298.8,309.1,1368,50.8,115,0,28.69,0.617,54.28,2,17.702,6242.2,0
1,298.8,309.1,1368,49.1,117,0,27.54,0.611,28.28,0,16.827,3308.76,0
2,298.8,309.2,1372,48.5,120,0,26.8,0.669,44.14,1,17.929,5296.8,0
1,298.8,309.1,1472,47.5,125,0,22.09,0.526,46.86,2,11.619,5857.5,0
0,298.8,309.1,1489,49.1,128,0,25.12,0.668,64.48,0,16.78,8253.44,0
1,298.7,309.0,1843,25.8,130,0,26.16,0.718,47.93,1,18.783,6230.9,0
0,298.8,309.1,1418,46.3,133,0,32.23,0.681,46.82,2,21.949,6227.06,0
2,298.8,309.2,1425,53.9,135,0,29.37,0.719,63.17,0,21.117,8527.95,0
1,298.9,309.2,1412,44.1,140,0,20.95,0.715,38.82,1,14.979,5434.8,0
0,298.9,309.1,2861,4.6,143,1,29.3,0.384,34.29,2,11.251,4903.47,0
0,298.9,309.1,1383,54.9,145,0,26.46,0.746,51.38,0,19.739,7450.1,0
2,298.8,309.0,1497,43.8,147,0,25.29,0.549,40.52,1,13.884,5956.44,0
0,298.7,309.0,1565,35.1,152,0,30.45,0.486,40.9,2,14.799,6216.8,0
0,298.7,309.0,1691,30.1,154,0,32.12,0.484,60.73,0,15.546,9352.42,0
0,298.8,309.1,1512,40.7,156,0,31.73,0.715,63.76,1,22.687,9946.56,0
